timestamp,MQ3,MQ135,MQ8,MQ5,MQ7,MQ4,MQ6,MQ2,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity
2024-09-16 15:38:39,639,861,811,418,940,756,681,672,722,35.99,83908.72,37.00,60.00
2024-09-16 15:38:40,639,861,811,419,939,757,681,671,725,35.99,83974.17,37.00,60.00
2024-09-16 15:38:40,640,861,813,419,942,756,680,673,722,35.99,83870.66,37.00,60.00
2024-09-16 15:38:41,638,861,812,416,941,756,680,673,724,35.99,83761.71,37.00,60.00
2024-09-16 15:38:41,640,860,812,419,939,756,679,672,725,36.00,83652.27,37.00,60.00
2024-09-16 15:38:42,638,862,812,416,941,759,680,670,722,36.00,83753.52,37.00,61.00
2024-09-16 15:38:42,640,859,813,419,940,758,679,671,724,35.99,83802.05,37.00,61.00
2024-09-16 15:38:43,640,860,812,420,940,757,682,670,723,36.00,83898.61,37.00,61.00
2024-09-16 15:38:43,640,859,813,417,940,759,681,670,722,36.00,83981.53,37.00,61.00
2024-09-16 15:38:44,637,860,811,418,939,757,680,672,722,36.00,84240.13,37.00,61.00
2024-09-16 15:38:44,640,860,811,418,941,756,682,671,724,36.00,84134.14,37.00,61.00
