timestamp,MQ3,MQ135,MQ8,MQ5,MQ7,MQ4,MQ6,MQ2,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity
2024-09-13 15:41:47,670,871,840,347,931,828,745,660,685,36.27,82914.72,37.00,61.00
2024-09-13 15:41:47,670,872,838,349,931,827,746,659,686,36.27,82895.35,37.00,61.00
2024-09-13 15:41:48,669,872,839,349,931,828,745,658,686,36.27,82891.67,37.00,61.00
2024-09-13 15:41:48,670,873,838,347,931,828,746,658,687,36.27,82876.83,37.00,61.00
2024-09-13 15:41:49,671,870,840,346,929,828,746,659,685,36.26,82859.89,37.00,61.00
2024-09-13 15:41:49,671,873,838,346,929,828,746,658,686,36.27,82859.36,37.00,61.00
2024-09-13 15:41:50,670,872,839,346,929,830,746,658,686,36.26,82854.83,37.00,62.00
2024-09-13 15:41:50,669,874,837,348,928,828,744,659,687,36.26,82845.05,37.00,62.00
2024-09-13 15:41:51,670,872,838,346,929,828,745,657,685,36.26,82845.93,37.00,62.00
2024-09-13 15:41:51,670,871,839,346,929,828,744,657,685,36.26,82830.74,37.00,62.00
2024-09-13 15:41:52,671,873,836,347,929,830,745,657,685,36.26,82821.30,37.00,62.00
2024-09-13 15:41:53,670,873,840,346,928,830,744,657,686,36.25,82839.10,37.00,62.00
2024-09-13 15:41:53,672,872,837,347,931,830,744,658,685,36.25,82836.30,37.00,62.00
2024-09-13 15:41:54,672,871,836,347,931,828,744,656,685,36.26,82840.51,37.00,62.00
2024-09-13 15:41:54,671,872,837,347,931,828,744,656,685,36.25,82834.03,37.00,62.00
2024-09-13 15:41:55,672,871,839,346,930,829,744,656,685,36.25,82831.42,37.00,62.00
