timestamp,MQ3,MQ135,MQ8,MQ5,MQ7,MQ4,MQ6,MQ2,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 11:08:54,380,690,597,206,792,566,490,283,440,33.98,82722.56,36.00,42.00,AirControl1609
2024-09-16 11:08:55,377,689,598,204,791,568,491,284,439,34.01,82716.53,36.00,42.00,AirControl1609
2024-09-16 11:08:55,378,690,596,204,791,566,488,284,440,34.03,82720.89,36.00,42.00,AirControl1609
2024-09-16 11:08:56,378,690,596,204,791,568,489,285,438,34.03,82722.29,36.00,42.00,AirControl1609
2024-09-16 11:08:56,377,691,596,204,790,567,488,283,438,34.04,82720.75,36.00,42.00,AirControl1609
2024-09-16 11:08:57,377,690,597,202,791,567,489,283,440,34.04,82721.96,36.00,42.00,AirControl1609
2024-09-16 11:08:57,377,690,596,203,791,566,491,285,439,34.04,82722.83,36.00,42.00,AirControl1609
2024-09-16 11:08:58,377,690,598,205,792,566,489,283,440,34.05,82723.54,36.00,42.00,AirControl1609
2024-09-16 11:08:58,379,687,597,206,790,566,491,283,439,34.05,82724.40,36.00,42.00,AirControl1609
2024-09-16 11:08:59,378,688,598,204,790,568,490,283,440,34.05,82721.44,36.00,42.00,AirControl1609
2024-09-16 11:08:59,379,690,599,206,792,567,491,284,439,34.05,82717.97,36.00,42.00,AirControl1609
2024-09-16 11:09:00,377,690,597,202,792,566,490,285,439,34.05,82721.79,36.00,42.00,AirControl1609
2024-09-16 11:09:00,377,688,596,203,791,568,489,283,440,34.05,82721.46,36.00,42.00,AirControl1609
2024-09-16 11:09:01,378,689,598,204,793,567,489,285,439,34.05,82720.75,36.00,42.00,AirControl1609
2024-09-16 11:09:01,379,691,598,204,792,566,490,285,439,34.06,82723.03,36.00,42.00,AirControl1609
2024-09-16 11:09:02,377,690,599,204,790,566,490,286,439,34.06,82722.86,36.00,42.00,AirControl1609
2024-09-16 11:09:02,380,689,597,203,791,566,490,285,440,34.05,82722.15,36.00,42.00,AirControl1609
