MQ135,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Target
606.4138870239258,631.2286758422852,834.1064529418945,608.2015991210938,711.0389251708984,405.31087493896484,249.0611572265625,577.3914108276367,573.9391937255859,NamaquaTest2509(20degEnvTemp)
607.4138870239258,632.2286758422852,834.1064529418945,607.2015991210938,711.0389251708984,406.31087493896484,248.0611572265625,579.3914108276367,573.9391937255859,NamaquaTest2509(20degEnvTemp)
606.4138870239258,632.2286758422852,833.1064529418945,607.2015991210938,710.0389251708984,406.31087493896484,248.0611572265625,577.3914108276367,573.9391937255859,NamaquaTest2509(20degEnvTemp)
609.4138870239258,634.2286758422852,834.1064529418945,607.2015991210938,711.0389251708984,404.31087493896484,246.0611572265625,580.3914108276367,575.9391937255859,NamaquaTest2509(20degEnvTemp)
609.4138870239258,633.2286758422852,834.1064529418945,609.2015991210938,713.0389251708984,407.31087493896484,248.0611572265625,579.3914108276367,574.9391937255859,NamaquaTest2509(20degEnvTemp)
608.4138870239258,632.2286758422852,835.1064529418945,609.2015991210938,713.0389251708984,407.31087493896484,246.0611572265625,578.3914108276367,576.9391937255859,NamaquaTest2509(20degEnvTemp)
607.4138870239258,632.2286758422852,833.1064529418945,608.2015991210938,713.0389251708984,405.31087493896484,249.0611572265625,578.3914108276367,574.9391937255859,NamaquaTest2509(20degEnvTemp)
552.0469055175781,575.4426422119141,775.15283203125,538.6977844238281,656.6840057373047,337.345703125,189.30442810058594,532.7994842529297,525.5000305175781,NamaquaTest2509(20degEnvTemp)
609.4138870239258,632.2286758422852,834.1064529418945,608.2015991210938,711.0389251708984,407.31087493896484,248.0611572265625,578.3914108276367,575.9391937255859,NamaquaTest2509(20degEnvTemp)
607.4138870239258,633.2286758422852,833.1064529418945,608.2015991210938,711.0389251708984,405.31087493896484,248.0611572265625,578.3914108276367,574.9391937255859,NamaquaTest2509(20degEnvTemp)
606.4138870239258,630.2286758422852,834.1064529418945,610.2015991210938,712.0389251708984,405.31087493896484,246.0611572265625,575.3914108276367,572.9391937255859,NamaquaTest2509(20degEnvTemp)
605.4138870239258,629.2286758422852,834.1064529418945,611.2015991210938,712.0389251708984,405.31087493896484,248.0611572265625,576.3914108276367,571.9391937255859,NamaquaTest2509(20degEnvTemp)
609.4138870239258,633.2286758422852,833.1064605712891,608.2015914916992,711.038932800293,405.3108825683594,246.0611572265625,578.3914108276367,576.9391937255859,NamaquaTest2509(20degEnvTemp)
610.4138870239258,633.2286758422852,833.1064605712891,609.2015914916992,712.038932800293,407.3108825683594,246.0611572265625,579.3914108276367,576.9391937255859,NamaquaTest2509(20degEnvTemp)
643.4081153869629,673.4862403869629,874.8773727416992,660.1628074645996,747.2011833190918,454.11612701416016,285.65208435058594,606.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
645.4081153869629,673.4862403869629,876.8773727416992,660.1628074645996,745.2011833190918,453.11612701416016,286.65208435058594,606.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
645.4081153869629,673.4862403869629,875.8773727416992,659.1628074645996,745.2011833190918,452.11612701416016,284.65208435058594,606.5653114318848,606.5118446350098,NamaquaTest2509(20degEnvTemp)
610.4138870239258,634.2286758422852,834.1064529418945,609.2015991210938,712.0389251708984,408.31087493896484,246.0611572265625,580.3914108276367,575.9391937255859,NamaquaTest2509(20degEnvTemp)
607.4138870239258,631.2286758422852,833.1064529418945,610.2015991210938,712.0389251708984,407.31087493896484,248.0611572265625,577.3914108276367,574.9391937255859,NamaquaTest2509(20degEnvTemp)
641.4081153869629,671.4862403869629,876.8773727416992,658.1628074645996,747.2011833190918,455.11612701416016,285.65208435058594,604.5653114318848,603.5118446350098,NamaquaTest2509(20degEnvTemp)
642.4081153869629,671.4862403869629,875.8773727416992,659.1628074645996,747.2011833190918,454.11612701416016,287.65208435058594,605.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,671.4862403869629,876.8773727416992,659.1628074645996,747.2011833190918,455.11612701416016,284.65208435058594,606.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
644.4081153869629,671.4862403869629,874.8773727416992,661.1628074645996,745.2011833190918,453.11612701416016,285.65208435058594,606.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,670.4862403869629,875.8773727416992,661.1628074645996,746.2011833190918,454.11612701416016,285.65208435058594,605.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
644.4081153869629,672.4862403869629,875.8773727416992,659.1628074645996,745.2011833190918,453.11612701416016,284.65208435058594,606.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
609.4138870239258,632.2286758422852,834.1064529418945,610.2015991210938,711.0389251708984,406.31087493896484,248.0611572265625,578.3914108276367,576.9391937255859,NamaquaTest2509(20degEnvTemp)
643.4081115722656,672.4862403869629,875.8773727416992,660.1628074645996,746.2011795043945,453.11612701416016,284.65209197998047,607.5653190612793,607.511848449707,NamaquaTest2509(20degEnvTemp)
644.4081115722656,671.4862403869629,875.8773727416992,661.1628074645996,744.2011795043945,454.11612701416016,285.65209197998047,604.5653190612793,605.511848449707,NamaquaTest2509(20degEnvTemp)
644.4081153869629,671.4862403869629,876.8773727416992,661.1628074645996,746.2011833190918,453.11612701416016,286.65208435058594,605.5653114318848,606.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,671.4862403869629,876.8773727416992,659.1628074645996,745.2011833190918,453.11612701416016,285.65208435058594,605.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,672.4862403869629,875.8773727416992,659.1628074645996,745.2011833190918,454.11612701416016,284.65208435058594,606.5653114318848,606.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,670.4862403869629,874.8773727416992,658.1628074645996,747.2011833190918,453.11612701416016,284.65208435058594,605.5653114318848,607.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,669.4862403869629,875.8773727416992,661.1628074645996,748.2011833190918,456.11612701416016,284.65208435058594,604.5653114318848,607.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,670.4862403869629,877.8773727416992,660.1628074645996,746.2011833190918,454.11612701416016,286.65208435058594,605.5653114318848,606.5118446350098,NamaquaTest2509(20degEnvTemp)
642.4081153869629,671.4862403869629,876.8773727416992,661.1628074645996,748.2011833190918,455.11612701416016,286.65208435058594,605.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,671.4862403869629,875.8773727416992,661.1628074645996,745.2011833190918,453.11612701416016,285.65208435058594,606.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
641.4081153869629,669.4862403869629,875.8773727416992,661.1628074645996,747.2011833190918,454.11612701416016,285.65208435058594,604.5653114318848,605.5118446350098,NamaquaTest2509(20degEnvTemp)
644.4081153869629,671.4862403869629,875.8773727416992,660.1628074645996,746.2011833190918,455.11612701416016,285.65208435058594,606.5653114318848,606.5118446350098,NamaquaTest2509(20degEnvTemp)
642.4081153869629,671.4862403869629,874.8773727416992,659.1628074645996,747.2011833190918,454.11612701416016,286.65208435058594,606.5653114318848,606.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,671.4862403869629,876.8773727416992,659.1628074645996,745.2011833190918,453.11612701416016,284.65208435058594,605.5653114318848,607.5118446350098,NamaquaTest2509(20degEnvTemp)
642.4081115722656,671.4862403869629,876.8773727416992,659.1628074645996,745.2011795043945,454.11612701416016,287.65209197998047,604.5653190612793,607.511848449707,NamaquaTest2509(20degEnvTemp)
643.4081115722656,670.4862403869629,875.8773727416992,658.1628074645996,745.2011795043945,452.11612701416016,284.65209197998047,603.5653190612793,604.511848449707,NamaquaTest2509(20degEnvTemp)
642.4081153869629,669.4862403869629,877.8773727416992,658.1628074645996,746.2011833190918,454.11612701416016,285.65208435058594,604.5653114318848,607.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,670.4862403869629,874.8773727416992,658.1628074645996,745.2011833190918,453.11612701416016,285.65208435058594,603.5653114318848,607.5118446350098,NamaquaTest2509(20degEnvTemp)
642.4081153869629,671.4862403869629,874.8773727416992,658.1628074645996,745.2011833190918,452.11612701416016,285.65208435058594,605.5653114318848,608.5118446350098,NamaquaTest2509(20degEnvTemp)
641.4081153869629,671.4862403869629,877.8773727416992,660.1628074645996,746.2011833190918,452.11612701416016,286.65208435058594,606.5653114318848,607.5118446350098,NamaquaTest2509(20degEnvTemp)
608.4138870239258,631.2286758422852,833.1064529418945,608.2015991210938,712.0389251708984,404.31087493896484,246.0611572265625,577.3914108276367,576.9391937255859,NamaquaTest2509(20degEnvTemp)
644.4081153869629,671.4862403869629,876.8773727416992,659.1628074645996,745.2011833190918,452.11612701416016,287.65208435058594,604.5653114318848,609.5118446350098,NamaquaTest2509(20degEnvTemp)
643.4081153869629,670.4862403869629,875.8773727416992,661.1628074645996,746.2011833190918,450.11612701416016,284.65208435058594,606.5653114318848,607.5118446350098,NamaquaTest2509(20degEnvTemp)
